SHARDS_size, SHARDS_hitRate
143881076736,0.7344605
144310534144,0.7344605
144740057088,0.7344605
145169514496,0.7344605
145599037440,0.7344605
146028494848,0.7344605
146458017792,0.7344605
146887475200,0.7344605
147316998144,0.7344605
147746455552,0.7344605
148175978496,0.7344605
148605435904,0.7344605
149034958848,0.7344605
149464416256,0.7344605
149893939200,0.7344605
150323396608,0.7344605
150752919552,0.7344605
151182376960,0.7344605
151611899904,0.7344605
152041357312,0.7344605
152470880256,0.7344605
152900337664,0.7344605
153329860608,0.7344605
153759318016,0.7344605
154188840960,0.7344605
154618298368,0.7344605
155047821312,0.7344605
155477344256,0.7344605
155906801664,0.7344605
156336324608,0.7344605
156765782016,0.7344605
157195304960,0.7344605
157624762368,0.7344605
158054285312,0.7344605
158483742720,0.7344605
158913265664,0.7344605
159342723072,0.7344605
159772246016,0.7344605
160201703424,0.7344605
160631226368,0.7344605
161060683776,0.7344605
161490206720,0.7344605
161919664128,0.7344605
162349187072,0.7344605
162778644480,0.7344605
163208167424,0.7344605
163637624832,0.7344605
164067147776,0.7344605
164496605184,0.7344605
164926128128,0.7344605
165355585536,0.7344605
165785108480,0.7344605
166214565888,0.7344605
166644088832,0.7344605
167073546240,0.7344605
167503069184,0.7344605
167932526592,0.7344605
168362049536,0.7344605
168791572480,0.7344605
169221029888,0.7344605
169650552832,0.7344605
170080010240,0.7344605
170509533184,0.7344605
170938990592,0.7344605
171368513536,0.7344605
171797970944,0.7344605
172227493888,0.7344605
172656951296,0.7344605
173086474240,0.7344605
173515931648,0.7344605
173945454592,0.7344605
174374912000,0.7344605
174804434944,0.7344605
175233892352,0.7344605
175663415296,0.7344605
176092872704,0.7344605
176522395648,0.7344605
176951853056,0.7344605
177381376000,0.7344605
177810833408,0.7344605
178240356352,0.7344605
178669813760,0.7344605
179099336704,0.7344605
179528794112,0.7344605
179958317056,0.7344605
180387774464,0.7344605
180817297408,0.7344605
181246754816,0.7344605
181676277760,0.7344605
182105735168,0.7344605
182535258112,0.7344605
182964781056,0.7344605
183394238464,0.7344605
183823761408,0.7344605
184253218816,0.7344605
184682741760,0.7344605
185112199168,0.7344605
185541722112,0.7344605
185971179520,0.7344605
186400702464,0.7344605
186830159872,0.7344605
187259682816,0.7344605
187689140224,0.7344605
188118663168,0.7344605
188548120576,0.7344605
188977643520,0.7344605
189407100928,0.7344605
189836623872,0.7344605
190266081280,0.7344605
190695604224,0.7344605
191125061632,0.7344605
191554584576,0.7344605
191984041984,0.7344605
192413564928,0.7344605
192843022336,0.7344605
193272545280,0.7344605
193702002688,0.7344605
194131525632,0.7344605
194560983040,0.7344605
194990505984,0.7344605
195419963392,0.7344605
195849486336,0.7344605
196279009280,0.7344605
196708466688,0.7344605
197137989632,0.7344605
197567447040,0.7344605
197996969984,0.7344605
198426427392,0.7344605
198855950336,0.7344605
199285407744,0.7344605
199714930688,0.7344605
200144388096,0.7344605
200573911040,0.7344605
201003368448,0.7344605
201432891392,0.7344605
201862348800,0.7344605
202291871744,0.7344605
202721329152,0.7344605
203150852096,0.7344605
203580309504,0.7344605
204009832448,0.7344605
204439289856,0.7344605
204868812800,0.7344605
205298270208,0.7344605
205727793152,0.7344605
206157250560,0.7344605
206586773504,0.7344605
207016230912,0.7344605
207445753856,0.7344605
207875211264,0.7344605
208304734208,0.7344605
208734191616,0.7344605
209163714560,0.7344605
209593171968,0.7344605
210022694912,0.7344605
210452217856,0.7344605
210881675264,0.7344605
211311198208,0.7344605
211740655616,0.7344605
212170178560,0.7344605
212599635968,0.7344605
213029158912,0.7344605
213458616320,0.7344605
213888139264,0.7344605
214317596672,0.7344605
214747119616,0.7344605
215176577024,0.7344605
